Timestamp,Monthly Allowance,Food,Travel,Shopping,Entertainment,Friends/relationships,Miscellaneous.,Miscellaneous Categories
2018/12/28 7:05:52 PM GMT+5:30,8000,2000,1000,1000,1000,2000,1500,
2018/12/28 7:38:36 PM GMT+5:30,-45624624526,-5462465,-24652426,-2465245,-24562456254,-2465465,-24562465,jyagtrfowuifbowiuar
2018/12/28 7:39:01 PM GMT+5:30,-617786,-65818,-7439861,-1698431,-15368,-51375,-33178,uafyhweiufhoaiuwe
2018/12/28 7:41:40 PM GMT+5:30,6900,696969,6699,9696969,666,999,6969,06-Sep
2018/12/28 7:51:33 PM GMT+5:30,1000,300,0,200,0,0,100,Copies and pens
2018/12/28 8:13:58 PM GMT+5:30,3000,500,100,400,300,300,500,
2018/12/28 8:42:03 PM GMT+5:30,3500,1000,500,500,200,1001,299,Rishvat😂
2018/12/28 10:32:21 PM GMT+5:30,2000,4000,500,500,1000,0,0,
2018/12/28 10:35:24 PM GMT+5:30,5000,2000,1200,500,300,400,600,
2018/12/28 10:36:59 PM GMT+5:30,2000,1500,0,500,0,0,0,None
2018/12/28 10:38:43 PM GMT+5:30,3500,2500,500,200,0,200,100,Shoes repair
2018/12/28 10:41:41 PM GMT+5:30,10000,6000,0,3000,0,0,1000,
2018/12/28 11:05:16 PM GMT+5:30,10000,3000,1000,1000,0,1000,1000,daily needs
2018/12/29 1:06:13 AM GMT+5:30,3000,1400,400,200,200,300,200,Medicine
2018/12/29 9:53:38 AM GMT+5:30,3000,2000,500,100,200,200,0,
2018/12/29 10:02:58 AM GMT+5:30,1000,400,200,200,200,0,100,Online gaming
2018/12/29 10:45:39 AM GMT+5:30,10000,2000,1000,1500,500,1000,4000,On family
2018/12/29 10:49:33 AM GMT+5:30,1500,600,200,100,300,100,0,
2018/12/29 10:59:15 AM GMT+5:30,10000,4000,500,3500,500,500,500,
2018/12/29 11:14:27 AM GMT+5:30,4500,2500,500,1000,50,100,200,Makeup 
2018/12/29 11:16:02 AM GMT+5:30,4500,2000,150,400,50,1000,100,Stationeries
2018/12/29 2:52:15 PM GMT+5:30,0,0,0,0,0,0,0,0
2018/12/29 3:17:21 PM GMT+5:30,25000,6000,2000,2000,1000,1000,2000,
2018/12/29 3:18:08 PM GMT+5:30,3000,1000,500,500,1000,0,0,
2018/12/29 3:39:09 PM GMT+5:30,6000,2000,1000,1000,500,1000,500,
2018/12/29 4:22:59 PM GMT+5:30,100000,40005,1,500000,2,10000,0,Cigarette 
2018/12/29 4:29:57 PM GMT+5:30,10000,4000,600,2000,1000,1000,0,
2018/12/29 6:38:50 PM GMT+5:30,5000,500,1000,0,2500,500,500,
2018/12/29 6:42:59 PM GMT+5:30,10000,2000,3500,1500,3000,2500,5000,
2018/12/29 7:52:25 PM GMT+5:30,5000,1000,200,1000,1000,0,500,medicines
2018/12/29 7:53:01 PM GMT+5:30,2500,2000,0,100,0,200,100,
2018/12/29 7:53:05 PM GMT+5:30,50000,30000,60000,20000,20000,20000,5000,
2018/12/29 7:57:56 PM GMT+5:30,2000,1000,0,500,500,1000,0,
2018/12/29 7:59:00 PM GMT+5:30,8000,3500,2000,500,500,1000,1000,
2018/12/29 7:59:29 PM GMT+5:30,4500,1800,1000,400,500,600,0,
2018/12/29 8:22:02 PM GMT+5:30,5000,4000,500,500,0,0,0,
